protid,DEFLINE,NN1,NN2,NN3,ON1,ON2,ON3,NO1,NO2,NO3,OO1,OO2,OO3
m.5056,Melanotransferrin OS=Mus musculus GN=Mfi2 PE=2 SV=1,10,103,0,20,103,0,9,0,26,10,10,9
m.5058,Iron/zinc purple acid phosphatase-like protein OS=Danio rerio GN=papl PE=2 SV=1,0,2,0,1,0,0,0,1,1,0,0,0
m.5062,Cathepsin B OS=Rattus norvegicus GN=Ctsb PE=1 SV=2,40,16,35,34,12,25,59,24,61,14,11,11
m.5064,m.5064,19,22,18,8,32,20,11,10,7,26,25,24
m.12311,Dipeptidyl aminopeptidase-like protein 6 OS=Bos taurus GN=DPP6 PE=1 SV=1,5,1,1,0,0,0,0,0,0,1,2,1
m.5075,COMM domain-containing protein 1 OS=Mus musculus GN=Commd1 PE=2 SV=2,0,1,0,2,2,0,0,1,0,0,0,1
m.5076,Valine--tRNA ligase OS=Takifugu rubripes GN=vars PE=3 SV=1,14,20,26,21,25,24,31,23,24,33,38,32
m.508,Endoplasmic reticulum resident protein 44 OS=Mus musculus GN=Erp44 PE=1 SV=1,7,4,6,6,1,4,14,12,11,12,14,14
m.5080,m.5080,18,14,15,21,15,14,20,10,0,19,19,16
m.5081,Ras-like protein RAS2 OS=Hydra vulgaris GN=RAS2 PE=2 SV=1,13,12,11,15,11,7,7,9,6,12,12,19
m.509,Syntaxin-17 OS=Homo sapiens GN=STX17 PE=1 SV=2,0,0,0,1,0,0,0,1,0,1,0,1
m.5097,Lysosome-associated membrane glycoprotein 1 OS=Gallus gallus GN=LAMP1 PE=2 SV=1,0,6,0,0,2,0,1,0,12,0,0,0
m.5109,Alpha-endosulfine OS=Xenopus tropicalis GN=ensa PE=2 SV=1,13,10,9,13,10,8,10,7,9,14,13,12
m.5110,Protein diaphanous homolog 2 OS=Homo sapiens GN=DIAPH2 PE=1 SV=1,0,0,0,0,0,0,0,0,0,0,1,0
m.5116,Predicted protein OS=Nematostella vectensis GN=v1g243708 PE=4 SV=1,1,7,2,1,4,1,3,2,4,3,2,1
m.5125,Predicted protein OS=Nematostella vectensis GN=v1g242327 PE=4 SV=1,1,0,1,3,2,0,0,2,0,0,0,0
m.5128,Predicted protein (Fragment) OS=Nematostella vectensis GN=v1g140878 PE=4 SV=1,16,9,13,10,3,20,17,0,20,16,17,14
m.5146,Ras-related C3 botulinum toxin substrate 1 OS=Rattus norvegicus GN=Rac1 PE=1 SV=1,3,3,6,8,8,6,12,6,4,11,9,11
m.5147,Isocitrate dehydrogenase [NADP] cytoplasmic OS=Ovis aries GN=IDH1 PE=2 SV=1,14,23,31,24,23,12,29,27,25,34,26,25
m.5148,Probable chitinase 3 OS=Drosophila melanogaster GN=Cht3 PE=2 SV=2,16,12,13,13,11,18,3,6,0,7,9,8
m.5149,Unconventional myosin-XV OS=Mus musculus GN=Myo15a PE=1 SV=2,0,0,1,0,0,0,0,0,0,0,0,0
m.515,Predicted protein OS=Nematostella vectensis GN=v1g242428 PE=4 SV=1,2,0,1,1,0,0,0,1,0,1,1,2
m.5150,Cathepsin L OS=Schistosoma mansoni GN=CL1 PE=2 SV=1,15,8,16,19,11,17,12,4,15,11,14,12
m.5161,Alpha-L-fucosidase OS=Branchiostoma floridae GN=BRAFLDRAFT_56888 PE=3 SV=2,38,34,2,18,31,0,32,33,24,26,28,27
m.5163,Collagen alpha-2(I) chain OS=Lithobates catesbeiana GN=COL1A2 PE=2 SV=1,0,10,8,0,7,8,0,5,11,0,0,0
m.12334,Collagen alpha-2(I) chain OS=Rattus norvegicus GN=Col1a2 PE=1 SV=3,8,9,8,13,11,10,8,8,10,4,6,3
m.5169,Heterogeneous nuclear ribonucleoprotein F OS=Macaca fascicularis GN=HNRNPF PE=2 SV=3,0,0,0,0,0,0,0,1,0,0,0,0
m.5172,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 7, mitochondrial OS=Mus musculus GN=Ndufs7 PE=1 SV=1",0,0,0,2,1,2,1,0,1,2,2,1
m.5182,CUB and zona pellucida-like domain-containing protein 1 OS=Homo sapiens GN=CUZD1 PE=2 SV=1,153,53,64,80,60,66,73,31,52,40,42,38
m.5185,Predicted protein OS=Nematostella vectensis GN=v1g244535 PE=4 SV=1,0,0,1,1,1,1,1,5,0,3,0,0
m.5189,"ADP-ribose pyrophosphatase, mitochondrial OS=Homo sapiens GN=NUDT9 PE=1 SV=1",0,0,2,1,1,0,0,2,1,3,2,3
m.5197,Serine/arginine-rich splicing factor 4 OS=Homo sapiens GN=SRSF4 PE=1 SV=2,0,0,0,0,0,0,0,0,0,0,0,1
m.5199,116 kDa U5 small nuclear ribonucleoprotein component OS=Homo sapiens GN=EFTUD2 PE=1 SV=1,0,0,2,2,2,2,0,2,7,3,2,2
m.521,m.521,0,1,0,0,0,0,0,2,0,0,0,0
m.5212,Anamorsin homolog OS=Branchiostoma floridae GN=BRAFLDRAFT_58504 PE=3 SV=1,1,0,0,0,0,0,0,0,0,0,0,0
m.10135,"Succinyl-CoA ligase [ADP-forming] subunit beta, mitochondrial (Fragment) OS=Columba livia GN=SUCLA2 PE=1 SV=1",11,6,10,17,12,8,9,17,16,9,6,8
m.1235,Putative adenosylhomocysteinase 3 OS=Homo sapiens GN=AHCYL2 PE=1 SV=1,0,0,0,1,6,0,1,2,1,2,1,1
m.5216,Inactive tyrosine-protein kinase 7 OS=Mus musculus GN=Ptk7 PE=1 SV=1,1,0,0,4,2,1,3,2,1,4,1,0
m.523,Dedicator of cytokinesis protein 9 OS=Mus musculus GN=Dock9 PE=2 SV=2,0,1,3,0,3,0,1,1,0,1,0,1
m.5233,Protein transport protein Sec24A OS=Mus musculus GN=Sec24a PE=1 SV=1,0,0,0,0,0,0,0,1,0,0,0,0
m.5248,"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 9, mitochondrial OS=Rattus norvegicus GN=Ndufa9 PE=1 SV=2",0,2,0,0,1,0,7,0,1,2,4,1
m.5250,Carbonic anhydrase 2 OS=Bos taurus GN=CA2 PE=1 SV=3,17,64,46,43,43,22,28,61,31,13,19,13
m.5253,Glyceraldehyde-3-phosphate dehydrogenase OS=Pelodiscus sinensis GN=GAPDH PE=2 SV=1,233,325,286,232,222,252,270,128,308,187,196,201
m.5258,RNA-binding protein 4B OS=Homo sapiens GN=RBM4B PE=1 SV=1,3,0,2,0,0,0,0,0,0,1,3,1
m.5266,Catenin beta OS=Urechis caupo PE=2 SV=1,2,0,3,2,0,1,1,3,0,0,0,2
m.5277,m.5277,0,1,0,0,1,0,0,0,0,3,1,1
m.5288,Teneurin-2 OS=Salpingoeca rosetta (strain ATCC 50818 / BSB-021) GN=PTSG_10401 PE=4 SV=1,0,7,0,3,6,0,5,5,0,3,5,4
m.12364,Uncharacterized protein OS=Amphimedon queenslandica GN=LOC100633942 PE=4 SV=1,1,1,0,0,1,1,1,1,0,2,3,3
m.5289,Ras-related GTP-binding protein C OS=Homo sapiens GN=RRAGC PE=1 SV=1,0,1,0,0,0,0,0,0,0,0,0,0
m.5290,Tight junction protein ZO-1 OS=Mus musculus GN=Tjp1 PE=1 SV=2,26,17,18,24,19,15,33,25,15,23,25,21
m.5305,60S ribosomal protein L8 OS=Anopheles gambiae GN=RpL8 PE=2 SV=2,5,5,0,3,1,0,8,8,0,6,7,5
m.5315,Coatomer subunit gamma-2 OS=Takifugu rubripes GN=copg2 PE=3 SV=1,6,17,20,13,22,12,17,17,4,21,22,23
m.5317,Guanine nucleotide-binding protein G(i) subunit alpha OS=Patiria pectinifera PE=1 SV=3,13,14,13,15,10,13,18,13,11,26,26,30
m.532,40S ribosomal protein S21 OS=Sus scrofa GN=RPS21 PE=3 SV=1,21,16,21,16,20,21,13,15,29,21,20,22
m.5321,Putative RNA polymerase II transcriptional coactivator OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) GN=SPAC16A10.02 PE=1 SV=1,0,0,0,0,1,0,0,0,0,0,0,0
m.5331,Glyoxalase/bleomycin resistance protein/dioxygenase (Precursor) OS=Chitinophaga pinensis (strain ATCC 43595 / DSM 2588 / NCIB 11800 / UQM 2034) GN=Cpin_6751 PE=4 SV=1,0,0,0,0,0,0,0,0,0,4,1,0
m.535,Phosphoserine aminotransferase OS=Mus musculus GN=Psat1 PE=1 SV=1,22,10,23,14,3,3,22,20,26,0,0,0
m.5352,Gamma-glutamyl hydrolase OS=Homo sapiens GN=GGH PE=1 SV=2,23,9,4,5,4,6,10,10,17,8,5,5
m.1238,Iron/zinc purple acid phosphatase-like protein OS=Mus musculus GN=Papl PE=2 SV=2,10,4,3,4,3,2,4,9,7,11,14,12
m.5355,Predicted protein OS=Nematostella vectensis GN=v1g241302 PE=4 SV=1,0,3,0,1,1,1,2,0,1,2,1,1
m.5358,PREDICTED: uncharacterized protein LOC100890748 [Strongylocentrotus purpuratus],7,0,0,12,0,0,0,6,2,0,0,0
m.5364,Myosin regulatory light polypeptide 9 OS=Pongo abelii GN=MYL9 PE=2 SV=3,14,19,42,32,26,35,27,19,25,21,24,25
m.5376,RNMT-activating mini protein OS=Homo sapiens GN=FAM103A1 PE=1 SV=1,0,0,0,0,0,0,0,3,0,0,1,0
m.5382,Receptor expression-enhancing protein 5 OS=Bos taurus GN=REEP5 PE=2 SV=1,5,5,7,6,6,4,8,4,4,6,4,7
m.5384,"2-oxoglutarate dehydrogenase, mitochondrial OS=Mus musculus GN=Ogdh PE=1 SV=3",1,1,4,6,3,4,9,5,3,7,6,7
m.5390,m.5390,34,37,24,31,42,24,31,19,26,40,41,42
m.5398,Golgi to ER traffic protein 4 homolog OS=Homo sapiens GN=GET4 PE=1 SV=1,0,1,0,0,0,0,2,0,2,1,0,1
m.5400,60S ribosomal protein L12 OS=Homo sapiens GN=RPL12 PE=1 SV=1,18,18,12,18,22,19,13,11,3,16,19,19
m.5403,"Aspartate aminotransferase, mitochondrial OS=Xenopus tropicalis GN=got2 PE=2 SV=1",36,43,36,60,101,46,48,38,44,41,39,38
m.12417,Arf-GAP domain and FG repeat-containing protein 1 OS=Rattus norvegicus GN=Agfg1 PE=1 SV=1,9,7,12,10,9,11,15,2,11,7,8,6
m.5409,GFP-like non-fluorescent chromoprotein OS=Goniopora tenuidens PE=1 SV=1,0,0,0,0,2,0,0,0,0,4,6,4
m.5411,cAMP-responsive element modulator OS=Canis familiaris GN=CREM PE=2 SV=2,0,0,3,1,1,4,2,1,3,3,4,2
m.5413,Heme-binding protein 2 OS=Mus musculus GN=Hebp2 PE=1 SV=1,11,1,2,4,0,4,0,0,68,0,0,0
m.5415,60S ribosomal protein L9 OS=Bos taurus GN=RPL9 PE=2 SV=1,7,10,1,9,9,10,7,12,7,13,13,14
m.5416,"NADH dehydrogenase [ubiquinone] flavoprotein 1, mitochondrial OS=Mus musculus GN=Ndufv1 PE=1 SV=1",2,5,7,6,12,4,7,6,4,9,7,6
m.5422,FK506-binding protein 15 OS=Homo sapiens GN=FKBP15 PE=1 SV=2,28,29,24,18,20,23,11,14,11,20,24,24
m.5424,m.5424,0,0,0,0,1,0,0,0,0,0,0,0
m.5435,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 12 OS=Bos taurus GN=NDUFA12 PE=1 SV=1,1,0,0,2,2,1,1,0,0,0,1,0
m.5439,Predicted protein OS=Nematostella vectensis GN=v1g214543 PE=4 SV=1,1,0,0,0,0,0,1,1,0,3,2,2
m.5441,Uncharacterized protein OS=Capitella teleta GN=CAPTEDRAFT_216986 PE=4 SV=1,0,0,3,0,0,0,3,0,1,1,1,0
m.1249,Chloride intracellular channel protein 1 OS=Mus musculus GN=Clic1 PE=1 SV=3,36,47,65,77,43,64,63,57,49,65,45,39
m.5442,40S ribosomal protein S18 OS=Branchiostoma belcheri GN=RPS18 PE=2 SV=1,38,23,28,33,22,27,24,27,4,27,29,30
m.5457,m.5457,5,5,6,5,2,5,5,2,6,5,3,3
m.5465,Heterogeneous nuclear ribonucleoprotein Q OS=Mus musculus GN=Syncrip PE=1 SV=2,5,7,20,10,11,16,14,7,9,15,12,15
m.5473,Predicted protein (Fragment) OS=Nematostella vectensis GN=v1g244126 PE=4 SV=1,1,2,0,8,4,3,0,0,0,7,4,4
m.5478,Delta-1-pyrroline-5-carboxylate synthase OS=Homo sapiens GN=ALDH18A1 PE=1 SV=2,0,0,0,0,1,0,0,1,0,0,0,0
m.548,Vacuolar protein sorting-associated protein 28 homolog OS=Bos taurus GN=VPS28 PE=2 SV=1,0,0,2,1,2,2,6,2,0,0,0,0
m.5487,Myosin-2 essential light chain OS=Drosophila melanogaster GN=Mlc-c PE=1 SV=1,5,4,5,4,1,6,7,10,2,3,4,2
m.550,Fascin-2 OS=Bos taurus GN=FSCN2 PE=2 SV=1,48,133,72,68,90,73,65,59,95,66,69,69
m.5502,Uncharacterized protein OS=Crassostrea gigas GN=CGI_10009549 PE=4 SV=1,4,3,3,5,9,7,12,4,0,18,15,16
m.12521,Staphylococcal nuclease domain-containing protein 1 OS=Pongo abelii GN=SND1 PE=2 SV=1,8,16,19,23,14,16,15,21,7,14,12,16
m.5507,Predicted protein OS=Nematostella vectensis GN=v1g245328 PE=4 SV=1,1,0,4,2,1,6,5,3,2,7,6,4
m.5516,S-adenosylmethionine synthase isoform type-2 OS=Mus musculus GN=Mat2a PE=2 SV=2,20,17,16,11,9,8,20,18,28,13,11,11
m.552,m.552,37,46,32,35,34,28,47,25,42,40,38,38
m.5522,Cystathionine gamma-lyase OS=Mus musculus GN=Cth PE=1 SV=1,6,9,0,5,4,1,4,4,8,8,6,5
m.5525,Flotillin-2a OS=Danio rerio GN=flot2a PE=2 SV=2,14,46,25,55,37,15,20,31,21,43,44,39
m.5528,RNA-binding protein 14 OS=Homo sapiens GN=RBM14 PE=1 SV=2,2,2,5,2,6,4,3,3,0,6,7,6
m.5531,Heme-binding protein 2 OS=Homo sapiens GN=HEBP2 PE=1 SV=1,1,0,4,3,0,0,5,6,1,2,1,0
m.5535,Cathepsin B-like cysteine proteinase 5 OS=Caenorhabditis elegans GN=cpr-5 PE=2 SV=1,19,10,28,10,7,19,12,10,8,5,6,5
m.5544,Predicted protein OS=Nematostella vectensis GN=v1g247020 PE=4 SV=1,0,0,0,0,0,0,0,1,0,0,0,0
m.5546,"NAD(P) transhydrogenase, mitochondrial OS=Bos taurus GN=NNT PE=1 SV=3",3,10,11,15,6,7,12,6,16,23,19,25
m.5548,5_-methylthioadenosine/S-adenosylhomocysteine nucleosidase OS=Histophilus somni (strain 2336) GN=mtnN PE=3 SV=1,0,0,1,0,0,1,0,0,0,0,0,0
m.555,Sphingomyelin phosphodiesterase OS=Bos taurus GN=SMPD1 PE=2 SV=1,0,1,0,0,0,0,0,0,0,0,0,0
m.5581,Lysyl oxidase homolog 4 OS=Mus musculus GN=Loxl4 PE=2 SV=2,6,6,18,9,5,7,9,15,14,14,10,9
m.5583,m.5583,17,31,8,14,12,9,15,11,11,21,25,26
m.559,Mitochondrial import inner membrane translocase subunit TIM44 OS=Mus musculus GN=Timm44 PE=2 SV=2,0,0,1,0,0,0,0,0,0,1,0,0
m.5593,Hydroxyethylthiazole kinase OS=Leptospira biflexa serovar Patoc (strain Patoc 1 / ATCC 23582 / Paris) GN=thiM PE=3 SV=1,2,7,2,2,4,1,4,7,3,6,5,5
m.56,60S ribosomal protein L7 OS=Bos taurus GN=RPL7 PE=2 SV=1,12,33,38,18,28,22,27,23,10,35,30,29
m.5600,AP-3 complex subunit sigma-1 OS=Mus musculus GN=Ap3s1 PE=1 SV=2,0,0,0,0,0,0,0,1,0,0,0,0
m.5603,Ras-related protein O-RAL OS=Diplobatis ommata PE=2 SV=1,2,1,0,2,3,2,2,2,1,4,3,4
m.5605,m.5605,19,24,10,16,21,15,16,22,0,25,18,24
m.5606,"ATP synthase subunit delta, mitochondrial OS=Mus musculus GN=Atp5d PE=1 SV=1",39,26,23,28,23,27,24,23,40,23,26,25
m.5613,Actin-related protein 2/3 complex subunit 1A OS=Rattus norvegicus GN=Arpc1a PE=2 SV=1,8,10,20,19,15,13,11,5,12,9,11,7
m.5618,Betaine--homocysteine S-methyltransferase 1 OS=Danio rerio GN=bhmt PE=2 SV=1,3,9,0,16,17,1,0,4,5,4,4,2
m.5620,Dual serine/threonine and tyrosine protein kinase OS=Xenopus laevis GN=dstyk PE=2 SV=1,1,0,3,1,0,5,4,4,0,4,7,7
m.5624,Vacuolar protein sorting-associated protein 35 OS=Mus musculus GN=Vps35 PE=1 SV=1,12,33,41,21,35,19,31,42,41,36,33,38
m.5628,Reticulocyte-binding protein 2 homolog a OS=Plasmodium falciparum (isolate 3D7) GN=PF13_0198 PE=3 SV=1,67,91,32,42,71,77,39,23,28,61,60,68
m.5643,"Succinyl-CoA ligase [ADP/GDP-forming] subunit alpha, mitochondrial OS=Rattus norvegicus GN=Suclg1 PE=2 SV=2",5,4,6,3,5,14,15,2,12,3,4,4
m.5646,Exocyst complex component 2 OS=Homo sapiens GN=EXOC2 PE=1 SV=1,0,0,0,0,0,0,1,0,0,0,0,0
m.5659,60S ribosomal protein L7a OS=Takifugu rubripes GN=rpl7a PE=3 SV=3,49,35,51,59,48,59,35,11,6,42,43,43
m.5665,40S ribosomal protein SA OS=Nematostella vectensis GN=v1g198553 PE=3 SV=1,42,41,46,56,46,46,44,32,47,39,31,34
m.5669,Arylsulfatase B OS=Mus musculus GN=Arsb PE=2 SV=3,0,0,1,0,0,0,1,6,2,5,7,5
m.5670,"Glutaryl-CoA dehydrogenase, mitochondrial OS=Bos taurus GN=GCDH PE=2 SV=1",0,0,0,0,0,0,0,1,2,0,0,0
m.5676,Syntenin-1 OS=Homo sapiens GN=SDCBP PE=1 SV=1,4,9,14,9,7,5,6,10,14,8,6,4
m.5677,Nucleobindin-2 OS=Rattus norvegicus GN=Nucb2 PE=2 SV=1,13,15,7,11,5,10,13,4,10,11,10,8
m.5680,Charged multivesicular body protein 1b OS=Danio rerio GN=chmp1b PE=2 SV=1,0,0,0,0,0,1,0,1,0,0,0,0
m.5686,Ribonuclease Oy OS=Crassostrea gigas PE=1 SV=1,27,21,18,12,9,18,14,3,14,5,2,5
m.5692,E3 ubiquitin-protein ligase RSP5 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RSP5 PE=1 SV=1,2,7,4,3,1,3,6,2,4,6,5,7
m.5724,Proteasome subunit beta type-3 OS=Oncorhynchus mykiss GN=psmb3 PE=2 SV=1,13,38,7,35,28,11,40,48,19,54,36,30
m.12589,Disintegrin and metalloproteinase domain-containing protein 10 (Fragment) OS=Rattus norvegicus GN=Adam10 PE=2 SV=1,3,0,1,4,2,2,0,0,0,1,0,0
m.5735,S-methyl-5_-thioadenosine phosphorylase OS=Nematostella vectensis GN=v1g214799 PE=3 SV=1,2,3,3,1,2,0,2,1,3,2,4,3
m.5753,Alpha-N-acetylglucosaminidase OS=Homo sapiens GN=NAGLU PE=1 SV=2,12,4,9,16,2,9,8,7,7,9,10,11
m.5755,Ras-related protein Rab-23 OS=Homo sapiens GN=RAB23 PE=1 SV=1,2,6,1,2,3,1,8,9,3,4,3,4
m.5774,D-inositol 3-phosphate glycosyltransferase OS=Corynebacterium urealyticum (strain ATCC 43042 / DSM 7109) GN=mshA PE=3 SV=1,0,1,0,2,0,0,0,8,2,0,0,0
m.5777,COP9 signalosome complex subunit 6 OS=Bos taurus GN=COPS6 PE=2 SV=1,0,1,0,0,0,0,0,1,1,0,0,0
m.5785,Dual specificity mitogen-activated protein kinase kinase 4 OS=Homo sapiens GN=MAP2K4 PE=1 SV=1,0,0,0,0,0,0,0,1,0,0,0,0
m.579,Uncharacterized protein OS=Amphimedon queenslandica GN=LOC100633656 PE=4 SV=1,0,0,46,0,0,33,93,19,78,106,108,113
m.5801,Granulins OS=Homo sapiens GN=GRN PE=1 SV=2,0,7,8,0,5,11,0,0,0,0,0,0
m.5803,Low density lipoprotein receptor adapter protein 1 OS=Homo sapiens GN=LDLRAP1 PE=1 SV=3,4,7,4,4,0,2,12,14,2,5,1,2
m.10139,Interphotoreceptor matrix proteoglycan 1 OS=Mus musculus GN=Impg1 PE=1 SV=1,0,2,0,0,0,0,7,0,1,2,3,2
m.12606,m.12606,0,0,0,0,0,0,0,0,1,0,0,0
m.5804,Vigilin OS=Mus musculus GN=Hdlbp PE=1 SV=1,10,9,28,33,12,21,27,16,8,25,21,25
m.5811,Vinculin OS=Mus musculus GN=Vcl PE=1 SV=4,24,27,51,46,35,35,38,22,32,43,50,51
m.5813,Polycystin-2 OS=Bos taurus GN=PKD2 PE=2 SV=1,0,0,0,0,0,0,0,1,0,0,1,0
m.5819,Transcriptional repressor protein YY1 OS=Mus musculus GN=Yy1 PE=1 SV=1,0,0,0,1,0,0,0,0,0,0,0,0
m.5820,Transcriptional repressor protein YY1 OS=Homo sapiens GN=YY1 PE=1 SV=2,0,0,0,0,0,0,0,1,0,0,0,0
m.5828,Intersectin-1 OS=Mus musculus GN=Itsn1 PE=1 SV=2,3,7,8,7,3,5,5,3,1,6,4,7
m.585,Phosphoinositide 3-kinase adapter protein 1 OS=Gallus gallus GN=PIK3AP1 PE=1 SV=1,0,0,0,0,0,1,0,2,0,1,3,3
m.5851,Pleckstrin homology domain-containing family H member 2 OS=Homo sapiens GN=PLEKHH2 PE=2 SV=2,1,1,0,1,0,0,0,0,0,0,0,0
m.5862,Calretinin OS=Mus musculus GN=Calb2 PE=1 SV=3,18,18,11,15,25,21,16,2,4,15,10,7
m.5864,m.5864,0,4,0,0,1,0,1,0,0,0,0,0
m.1261,N-acetylgalactosamine-6-sulfatase OS=Homo sapiens GN=GALNS PE=1 SV=1,2,6,9,5,6,5,2,0,0,0,0,0
m.5867,m.5867,3,2,1,8,1,0,16,12,11,9,3,11
m.5868,Tyrosine-protein kinase Fyn OS=Gallus gallus GN=FYN PE=1 SV=2,4,0,2,3,1,1,0,0,0,1,3,2
m.5869,Protein TFG OS=Homo sapiens GN=TFG PE=1 SV=2,8,8,5,4,11,10,7,9,10,7,4,4
m.5870,Coatomer subunit alpha OS=Homo sapiens GN=COPA PE=1 SV=2,6,7,13,23,12,7,21,24,13,18,10,14
m.5881,Glutamine synthetase OS=Gallus gallus GN=GLUL PE=1 SV=1,7,3,7,11,9,11,16,11,15,9,7,10
m.5891,V-type proton ATPase subunit d 1 OS=Danio rerio GN=atp6v0d1 PE=1 SV=1,0,3,2,2,2,3,4,0,2,6,4,4
m.5898,Putative deoxyribose-phosphate aldolase OS=Homo sapiens GN=DERA PE=1 SV=2,1,3,0,3,1,0,1,2,1,2,1,0
m.5900,m.5900,3,6,2,4,3,7,1,0,0,6,4,3
m.5906,Achacin OS=Achatina fulica PE=1 SV=1,0,1,0,0,0,0,0,0,0,2,1,1
m.592,Poly(U)-binding-splicing factor PUF60-B OS=Danio rerio GN=puf60b PE=2 SV=2,2,3,6,3,0,3,3,4,2,10,10,13
m.12631,m.12631,8,2,0,1,4,0,0,0,0,9,5,7
m.5922,Eukaryotic translation initiation factor 4E type 3 OS=Danio rerio GN=eif4e3 PE=2 SV=1,0,0,1,1,1,1,1,1,0,0,0,0
m.5924,Epididymal secretory protein E1 OS=Mus musculus GN=Npc2 PE=2 SV=1,80,59,2,8,86,5,24,13,39,16,9,4
m.5932,Predicted protein OS=Nematostella vectensis GN=v1g243754 PE=4 SV=1,2,0,1,2,0,2,0,0,0,0,0,0
m.5940,Phosphatidylserine decarboxylase proenzyme 3 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) GN=psd3 PE=3 SV=2,37,42,375,46,63,371,177,63,103,78,89,87
m.5946,Neuronal-specific septin-3 OS=Bos taurus GN=SEPT3 PE=2 SV=3,1,1,0,4,2,0,3,1,4,1,1,1
m.595,Thioredoxin reductase 3 OS=Mus musculus GN=Txnrd3 PE=1 SV=3,16,33,24,31,26,30,14,19,12,14,10,11
m.5953,Talin-2 OS=Homo sapiens GN=TLN2 PE=1 SV=4,39,50,92,100,68,48,71,72,33,89,96,88
m.5957,TBC1 domain family member 1 OS=Bos taurus GN=TBC1D1 PE=2 SV=2,0,0,0,0,0,0,0,1,0,0,0,1
m.5958,Uncharacterized protein OS=Xiphophorus maculatus PE=4 SV=1,3,3,6,5,3,5,6,4,4,6,4,5
m.5976,Eukaryotic peptide chain release factor subunit 1 OS=Polyandrocarpa misakiensis GN=ERF1 PE=2 SV=1,0,3,0,0,1,0,0,0,0,0,0,0
m.12641,Predicted protein OS=Nematostella vectensis GN=v1g245862 PE=4 SV=1,0,0,0,0,1,0,0,0,0,0,0,0
m.5981,SH3 domain-binding glutamic acid-rich-like protein 3 OS=Pongo abelii GN=SH3BGRL3 PE=3 SV=1,26,16,7,12,17,13,9,12,7,13,17,20
m.5986,Uncharacterized protein OS=Oreochromis niloticus PE=4 SV=1,0,0,0,2,0,0,0,0,0,0,0,0
m.599,Ragulator complex protein LAMTOR1 OS=Mus musculus GN=Lamtor1 PE=1 SV=1,1,1,1,1,1,0,0,0,0,0,2,2
m.60,Carbonic anhydrase 7 OS=Mus musculus GN=Ca7 PE=1 SV=2,0,4,0,0,0,1,24,5,12,8,4,5
m.6000,m.6000,39,25,24,25,33,27,45,44,26,45,49,53
m.6024,Acid ceramidase OS=Pan troglodytes GN=ASAH1 PE=2 SV=1,14,23,10,14,17,16,3,3,10,11,5,7
m.6043,Ribokinase OS=Homo sapiens GN=RBKS PE=1 SV=1,3,0,0,4,0,0,8,6,0,14,11,13
m.6044,Uricase OS=Oryctolagus cuniculus GN=UOX PE=2 SV=1,0,0,0,0,0,0,1,0,1,0,0,0
m.6046,"MOSC domain-containing protein 1, mitochondrial OS=Mus musculus GN=Marc1 PE=1 SV=2",0,0,1,2,0,0,5,1,1,0,2,4
m.12642,Transgelin-2 OS=Rattus norvegicus GN=Tagln2 PE=2 SV=1,113,153,166,172,149,167,156,101,146,85,89,97
m.6058,Reticulocyte-binding protein 2 homolog a OS=Plasmodium falciparum (isolate 3D7) GN=PF13_0198 PE=3 SV=1,3,1,0,1,0,0,0,0,0,1,2,5
m.606,Extracellular metalloprotease OS=Bacillus subtilis (strain 168) GN=mpr PE=1 SV=1,20,21,39,21,23,57,27,33,35,41,46,42
m.6062,Phosphoglucomutase-1 OS=Macaca fascicularis GN=PGM1 PE=2 SV=3,17,18,27,26,32,24,14,25,20,12,17,13
m.6066,Thymidine phosphorylase OS=Mus musculus GN=Tymp PE=2 SV=1,0,1,0,1,1,0,0,1,0,0,0,0
m.6067,Thymidine phosphorylase OS=Rattus norvegicus GN=Tymp PE=2 SV=1,0,3,8,7,4,0,3,5,1,2,5,3
m.6100,"ADP,ATP carrier protein OS=Chlamydomonas reinhardtii GN=ABT PE=1 SV=1",4,0,7,6,0,0,13,16,4,17,15,16
m.611,Hemicentin-1 OS=Homo sapiens GN=HMCN1 PE=1 SV=2,14,30,16,21,17,12,41,4,28,32,33,31
m.6130,Inorganic pyrophosphatase OS=Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / JCM 1990 / NBRC 0083 / IGC 2968) GN=IPP1 PE=3 SV=1,35,41,51,44,48,44,40,26,32,39,37,38
m.6137,Striatin-3 OS=Mus musculus GN=Strn3 PE=1 SV=1,7,5,8,6,3,8,4,7,0,4,2,5
m.12643,Predicted protein OS=Nematostella vectensis GN=v1g247020 PE=4 SV=1,2,3,6,6,7,7,1,0,0,0,0,0
m.6149,Hypoxia up-regulated protein 1 OS=Rattus norvegicus GN=Hyou1 PE=1 SV=1,12,9,21,24,10,15,19,18,15,30,29,21
m.6153,Apomucin (Fragment) OS=Sus scrofa PE=1 SV=2,9,8,9,4,4,3,11,10,9,12,11,9
m.6160,m.6160,7,20,8,21,15,27,1,3,4,14,14,15
